month,total_loans,total_defaults,stealth_defaults,captured_defaults,realized_default_rate,stealth_default_rate,macro_stress_score,uncertainty_pressure,liquidity_disruption,unemployment_rate,fed_funds_rate,cpi_inflation,treasury_spread,recession_indicator,spy_monthly_return,spy_monthly_vol,vix_monthly_mean
2012-10-01,6263,962,483,479,0.15360051093725052,0.502079002079002,0.0849999999999999,0.3,0.0,7.8,0.16,2.1556780595369363,1.469047619047619,0.0,-0.018198211314363943,0.10699045508585435,16.276190576099214
2012-11-01,6382,1029,494,535,0.16123472265747416,0.4800777453838678,0.0824999999999999,0.29,0.0,7.7,0.16,1.7960197033926262,1.386,0.0,0.005660137373967977,0.15264989741598636,16.70190484183175
2012-12-01,6066,916,430,486,0.15100560501153973,0.46943231441048033,0.08,0.28,0.0,7.9,0.16,1.7595049796895523,1.462,0.0,0.008934577119629417,0.11581129106506975,17.306999826431273
2013-01-01,6872,1050,493,557,0.15279394644935973,0.4695238095238095,0.0775,0.27,0.0,8.0,0.14,1.684061762098299,1.6495238095238096,0.0,0.05118976094430239,0.10009511964689827,13.505238124302455
2013-02-01,7561,1160,533,627,0.1534188599391615,0.45948275862068966,0.0755,0.27,0.0,7.7,0.15,2.0181404902574807,1.7168421052631577,0.0,0.012758947076735083,0.13382716129422476,14.07263163516396
2013-03-01,8273,1200,541,659,0.14505016318143357,0.4508333333333333,0.0755,0.27,0.0,7.5,0.14,1.5187472411246183,1.7015,0.0,0.03797115051882627,0.07613721410452964,13.031500005722046
2013-04-01,9419,1504,648,856,0.1596772481155112,0.4308510638297872,0.0665,0.25,0.0,7.6,0.15,1.138808047576867,1.526818181818182,0.0,0.01921200281612867,0.14137924406121846,13.967272715135055
2013-05-01,10350,1720,711,1009,0.16618357487922705,0.41337209302325584,0.0805,0.25,0.0,7.5,0.11,1.3903888279197085,1.6777272727272725,0.0,0.023610029743000194,0.10549736495903202,13.493636304681951
2013-06-01,10899,1761,735,1026,0.16157445637214424,0.41737649063032367,0.079,0.26,0.0,7.5,0.09,1.7157935271568725,1.9665,0.0,-0.013344584755178857,0.17351287257888767,17.271499919891358
2013-07-01,11910,1854,808,1046,0.15566750629722922,0.43581445523193096,0.12,0.28,0.0,7.3,0.09,1.885471805415806,2.2413636363636367,0.0,0.05167715828455299,0.07035690023664082,13.97454565221613
2013-08-01,12674,1941,838,1103,0.15314817737099573,0.431736218444101,0.109,0.3,0.0,7.2,0.08,1.538809488600279,2.380909090909091,0.0,-0.029992145431244177,0.10394963505315824,14.209999908100475
2013-09-01,12987,2052,845,1207,0.158004158004158,0.4117933723196881,0.1245,0.33,0.0,7.2,0.08,1.0947341081747997,2.4055,0.0,0.031646307314208366,0.08527867321461076,14.692000102996825
